time 2018-09-17 09:36:57
row  20
col  20
robRow  12
robCol  18
robReachRowLst  7 16 18 8 9 10 0 14 12 15 3 4 16 19 17 18 8 9 10 8 11 9 14 12 15 0 3 1 2 3 16 19 17 7 18 10 12 10 15 13 0 1 4 2 5 6 4 17 8 15 11 16 6 19 17 18 8 9 10 11 0 12 1 15 13 0 3 4 5 16 19 17 7 18 9 10 11 9 14 12 15 13 2 0 3 4 2 5 3 6 17 7 18 11 14 10 13 0 1 2 5 6 7 5 19 8 9 14 3 16 6 19 17 18 8 9 10 11 12 1 15 13 0 3 1 4 5 16 19 7 18 9 11 14 12 0 3 1 4 2 5 6 16 12 13 1 2 6 5 16 19 18 9 10 0 14 12 15 4 19 18 8 9 10 8 14 12 15 13 0 3 1 4 2 5 16 19 17 7 18 10 11 14 12 10 0 4 2 5 6 4 7 16 17 15 13 11 2 16 19 18 8 9 10 11 0 14 12 1 15 13 0 3 4 16 19 17 7 8 9 10 8 11 9 14 12 15 13 2 0 3 1 4 2 5 3 6 17 7 18 11 14 12 13 0 1 2 6 4 7 5 17 8 15 11 16 6 19 17 18 8 11 14 12 1 15 13 0 3 1 4 16 6 19 7 18 8 9 11 9 14 12 15 13 2 0 3 1 4 2 5 3 6 7 16 12 13 1 2 6 7 5 8 9 14 3 16 6 19 17 18 8 9 10 8 11 14 12 15 0 3 1 4 2 16 6 17 7 18 9 10 11 14 12 13 0 3 1 4 2 5 6 16 17 15 13 11 2
robReachColLst  3 9 19 5 0 7 17 1 17 4 2 5 0 13 13 10 12 9 14 18 15 19 8 8 13 14 11 15 12 17 7 18 6 15 5 9 7 19 10 6 5 0 11 7 10 1 17 17 0 19 19 11 18 6 10 17 7 6 5 8 19 19 18 6 18 9 4 7 6 2 15 3 16 8 15 12 1 17 14 10 15 11 16 0 13 14 10 15 19 12 4 9 3 6 17 17 4 7 6 5 8 7 6 18 3 2 3 2 1 13 16 8 8 15 9 4 3 10 13 16 0 16 11 6 10 1 4 4 17 18 6 13 3 12 4 2 15 3 8 8 13 2 17 3 2 4 3 5 16 8 5 18 1 6 16 0 16 5 4 10 13 11 10 1 17 11 15 2 14 13 8 8 3 15 2 6 19 7 12 4 8 5 18 6 18 4 10 6 11 0 16 5 19 18 16 0 16 1 10 7 16 6 7 4 9 18 6 18 19 7 19 8 5 6 1 12 12 17 13 8 15 19 14 18 9 9 12 12 19 15 10 14 13 13 0 16 15 5 14 2 7 16 0 5 6 7 4 6 18 7 19 16 1 18 18 12 19 9 9 14 8 11 4 12 17 1 17 10 7 11 0 3 10 14 19 9 15 14 0 16 15 11 14 10 17 1 12 12 15 11 14 18 13 8 16 2 3 5 2 4 1 17 3 2 3 0 14 17 11 15 12 10 11 0 16 13 10 14 3 12 9 9 2 14 5 8 0 13 7 12 11 2 13 5 8 3 14 2 9 9 12 3 18 19 17 1 17 0
robUnReachRowLst  1 1 2 3 4 4 5 5 5 5 5 6 6 6 7 7 7 7 7 8 8 9 10 10 10 10 11 11 12 13 13 13 13 14 14 14 15 15 15 16 17 17 17 17 18 18 18 19 19 19 19 19
robUnReachColLst  1 13 18 3 12 19 1 3 5 7 9 9 11 14 0 2 4 10 11 4 14 5 2 10 13 16 4 12 1 7 9 13 15 5 7 19 8 9 11 15 1 2 11 14 0 1 11 0 1 2 4 16
grid  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
obRow  1 1 2 3 4 4 5 5 5 5 5 6 6 6 7 7 7 7 7 8 8 9 10 10 10 10 11 11 12 13 13 13 13 14 14 14 15 15 15 16 17 17 17 17 18 18 18 19 19 19 19 19
obCol  1 13 18 3 12 19 1 3 5 7 9 9 11 14 0 2 4 10 11 4 14 5 2 10 13 16 4 12 1 7 9 13 15 5 7 19 8 9 11 15 1 2 11 14 0 1 11 0 1 2 4 16
